scenario_id,profile,merchant_id,source_record_id,external_ref,amount_minor,currency,transaction_date,status
scenario-42-100-adversarial,adversarial,merchant-00085,merchant-00085,PAY-42-00085,13493,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00078,merchant-00078,PAY-42-00078,13944,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00022,merchant-00022,PAY-42-00022,62688,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00011,merchant-00011,PAY-42-00011,47795,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00009,merchant-00009,PAY-42-00009,11289,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00053,merchant-00053,PAY-42-00053,78373,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00062,merchant-00062,PAY-42-00062,36104,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00014,merchant-00014,PAY-42-00014,36152,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00007,merchant-00007,PAY-42-00007,18495,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00026,merchant-00026,PAY-42-00026,59844,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00054,merchant-00054,PAY-42-00054,40016,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00081,merchant-00081,PAY-42-00081,26177,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00017,merchant-00017,PAY-42-00017,16497,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00074,merchant-00074,PAY-42-00074,72340,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00063,merchant-00063,PAY-42-00063,33847,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00016,merchant-00016,PAY-42-00016,78954,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00003,merchant-00003,PAY-42-00003,93867,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00030,merchant-00030,PAY-42-00030,95464,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00092,merchant-00092,PAY-42-00092,10598,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00024,merchant-00024,PAY-42-00024,43922,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00064,merchant-00064,PAY-42-00064,99882,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00038,merchant-00038,PAY-42-00038,43008,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00050,merchant-00050,PAY-42-00050,49148,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00070,merchant-00070,PAY-42-00070,64400,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00046,merchant-00046,PAY-42-00046,75640,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00039,merchant-00039,PAY-42-00039,71103,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00025,merchant-00025,PAY-42-00025,56697,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00094,merchant-00094,PAY-42-00094,31192,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00023,merchant-00023,PAY-42-00023,19119,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00099,merchant-00099,PAY-42-00099,41419,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00059,merchant-00059,PAY-42-00059,19427,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00048,merchant-00048,PAY-42-00048,50010,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00069,merchant-00069,PAY-42-00069,45637,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00077,merchant-00077,PAY-42-00077,24157,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00060,merchant-00060,PAY-42-00060,58006,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00089,merchant-00089,PAY-42-00089,11001,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00061,merchant-00061,PAY-42-00061,14237,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00093,merchant-00093,PAY-42-00093,11421,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00068,merchant-00068,PAY-42-00068,52862,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00040,merchant-00040,PAY-42-00040,81138,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00015,merchant-00015,PAY-42-00015,68183,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00056,merchant-00056,PAY-42-00056,11090,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00088,merchant-00088,PAY-42-00088,89650,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00031,merchant-00031,PAY-42-00031,64503,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00049,merchant-00049,PAY-42-00049,19921,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00096,merchant-00096,PAY-42-00096,21450,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00072,merchant-00072,PAY-42-00072,61202,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00033,merchant-00033,PAY-42-00033,32193,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00098,merchant-00098,PAY-42-00098,33836,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00095,merchant-00095,PAY-42-00095,66631,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00080,merchant-00080,PAY-42-00080,53386,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00076,merchant-00076,PAY-42-00076,53222,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00075,merchant-00075,PAY-42-00075,58867,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00065,merchant-00065,PAY-42-00065,14513,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00084,merchant-00084,PAY-42-00084,45518,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00006,merchant-00006,PAY-42-00006,75632,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00082,merchant-00082,PAY-42-00082,84204,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00083,merchant-00083,PAY-42-00083,29019,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00013,merchant-00013,PAY-42-00013,53069,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00042,merchant-00042,PAY-42-00042,13780,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00041,merchant-00041,PAY-42-00041,42201,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00043,merchant-00043,PAY-42-00043,30723,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00021,merchant-00021,PAY-42-00021,35445,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00035,merchant-00035,PAY-42-00035,70827,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00029,merchant-00029,PAY-42-00029,45965,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00055,merchant-00055,PAY-42-00055,63087,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00037,merchant-00037,PAY-42-00037,66997,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00058,merchant-00058,PAY-42-00058,94180,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00087,merchant-00087,PAY-42-00087,82559,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00067,merchant-00067,PAY-42-00067,25851,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00045,merchant-00045,PAY-42-00045,76525,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00004,merchant-00004,PAY-42-00004,73294,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00071,merchant-00071,PAY-42-00071,53727,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00034,merchant-00034,PAY-42-00034,83804,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00001,merchant-00001,PAY-42-00001,44410,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00090,merchant-00090,PAY-42-00090,67444,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00073,merchant-00073,PAY-42-00073,40201,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00097,merchant-00097,PAY-42-00097,88529,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00100,merchant-00100,PAY-42-00100,12894,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00057,merchant-00057,PAY-42-00057,35081,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00079,merchant-00079,PAY-42-00079,28455,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00051,merchant-00051,PAY-42-00051,91163,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00005,merchant-00005,PAY-42-00005,28261,INR,2026-08-06T10:00:00.000Z,captured
