seed,profile,scenario_id,settlement_id,settlement_source_record_id,external_settlement_id,stated_amount_minor,currency,settlement_date,component_id,component_type,component_amount_minor,financial_effect_minor,component_set_complete
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00019,payment,55403,55403,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00095,payment,66631,66631,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00061,payment,14237,14237,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00063,payment,33847,33847,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00053,payment,78373,78373,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00093,payment,11421,11421,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00067,payment,25851,25851,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00044,payment,30502,30502,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00085,payment,13493,13493,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00075,payment,58867,58867,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00043,payment,30723,30723,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00090,payment,67444,67444,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00040,payment,81138,81138,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00064,payment,99882,99882,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00052,payment,26510,26510,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00054,payment,40016,40016,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00100,payment,12894,12894,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00099,payment,41419,41419,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00045,payment,76525,76525,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00058,payment,94180,94180,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00055,payment,63087,63087,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00057,payment,35081,35081,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00015,payment,68183,68183,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00060,payment,58006,58006,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00047,payment,90007,90007,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00024,payment,43922,43922,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00097,payment,88529,88529,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00046,payment,75640,75640,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00011,payment,47795,47795,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00065,payment,14513,14513,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00089,payment,11001,11001,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00086,payment,94912,94912,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00096,payment,21450,21450,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00092,payment,10598,10598,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00026,payment,59844,59844,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00038,payment,43008,43008,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00013,payment,53069,53069,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00042,payment,13780,13780,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00050,payment,49148,49148,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00034,payment,83804,83804,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00035,payment,70827,70827,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00056,payment,11090,11090,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00039,payment,71103,71103,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00081,payment,26177,26177,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00041,payment,42201,42201,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00028,payment,33158,33158,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00021,payment,35445,35445,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00084,payment,45518,45518,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00087,payment,82559,82559,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00020,payment,20078,20078,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00094,payment,31192,31192,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00022,payment,62688,62688,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00059,payment,19427,19427,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00074,payment,72340,72340,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00018,payment,98076,98076,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00062,payment,36104,36104,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00083,payment,29019,29019,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00048,payment,50010,50010,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00016,payment,78954,78954,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00078,payment,13944,13944,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00025,payment,56697,56697,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00014,payment,36152,36152,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00073,payment,40201,40201,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00030,payment,95464,95464,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00098,payment,33836,33836,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00082,payment,84204,84204,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00076,payment,53222,53222,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00070,payment,64400,64400,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00072,payment,61202,61202,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00012,payment,55206,55206,true
